ID	TEXT	PREV	NEXT	CLASS
f9bab0979b1166b74812e7b11a8d8f68	Acción en #DefensaDeLaDemocracia en el Viceconsulado de España en #LaPlata #VolemVotar #HolaDemocràcia #1Oct #FemXarxaConSud	En breve retransmitimos en directo la charla "Buenas prácticas de seguridad en informática e Internet",de Armengol Torres #seguridadinternet	#NoTenimPor a #LaPlata #ARG ???? #volemvotar #defensemlademocracia #1Oct #CatalunyaExterior ?#Catalunya @tamaragc1515 https://t.co/EHdJ9BLGSd	FAVOR
66ce203f2488a332d009db0dab588c9d	La política futbolizada que suplanta la batalla de las ideas por la lucha entre aficiones fanatizadas. #1octubreARV  https://t.co/F3rcX0gbtn	"En política son los medios los que deben justificar el fin", Albert Camus	RT @socialistes_cat: ????“Els independentistes no tenen raó, però tenen raons q els ha regalat el PP” @J_Zaragoza_ entrevistat a @elpuntavui h…	AGAINST
d2d0e5d1fc3ea5870d202d5dcdb74d8e	Viva ESPAÑA joder!!! #catalunyaesespana #VivaEspana #Catalunya #1o https://t.co/8rGrycv71W	Crearme una cuenta en tweeter y que lo primero que descubra al entrar es que @Jogedg siga a @ricky_martin solo por eso a merecido la pena!	Los que me conocen saben lo que significa ésto para mi pero ahora solo toca esforzarse el doble y terminar lo que y… https://t.co/HXUhx5ZXip	AGAINST
4a56d515354da299df25c50f3b30b6fc	Si ponen un pic-nic el día #1octubreARV voy desde Murcia.	RT @guardiacivil: #Colabora Mairena es una #menor que ha #desaparecido en Olula del Río #Almería  Si la ves ????062 ????112 Tu RT la ayudará http…	Ha muerto #Hughefner el dueño de la mansión Playboy, la incineración tendrá lugar desde hoy a las 20 horas hasta el 24 de Diciembre.	NEUTRAL
60ca944f5fc8a820b1054b4c96deb362	? VÍDEO | Guindos ofrece negociación económica y fiscal a Catalunya si se desconvoca el referéndum https://t.co/qbk4BN20tz #1O	vacío	????DIRECTO | salvadostv -Zapatero: "¿Qué significa una urna en la realidad catalana? Poner a dividir a los catalanes,… https://t.co/V0ltQBkhpO	NEUTRAL
fa83b88c598daee740dc4a124e37ca4c	Lluís Llach - Que tinguem sort  lo educado es despedirse con buenos deseos #1octubreARV  @1Octubre https://t.co/ElaOA3SK9f	Que bueno De Gea, como se nota que es atletoco	Serrat: “Los que me tildan de fascista desconocen el fascismo” https://t.co/MVgOojMkUB vía @el_pais	FAVOR
c0ae714f29b0e744471def761532a493	Que triste que en  @A3Noticias nos vendan que la respuesta de los españoles ante el #1Oct2017  es una elevada demanda banderas de España. Ok.	@mollyglynn06 Really?	Qué triste que en @A3Noticias nos vendan que la respuesta de los españoles ante el #1Oct2017  es una elevada demanda de  banderas de España.	NEUTRAL
ad13a4b3dc1579d4c93da3a21c1e34d8	DIRECTO | Los 6 detenidos en la operación contra el #1O declaran esta mañana en la Ciutat de la Justicia https://t.co/pU2HYRNm16	vacío	"Implantar embriones como se hizo con la oveja Dolly con porcentajes de éxito similares en humanos es ciertamente… https://t.co/xxafXK7Atx	NEUTRAL
ed60fc6cb2e1c9bfaa8a1897288a6240	Qué apañadica y menos es más esta intervención urbana. #GureEskuDago #1Oct2017 https://t.co/bGw186Wc9n	vacío	RT @JuanGomezJurado: Twitter, no queremos #280characters. Me ha bastado un mensaje para darme cuenta de que es feo, es una idea terrible y…	FAVOR
2b8b65d2c9eb17f76b1ec145cdc8be9e	#Cataluña #Referéndum #1O Siete de los detenidos en Cataluña continúan en dependencias policiales. https://t.co/p0vv03VGpa	#Siria #Málaga Operación de la UCO contra la familia del Presidente Al Asad. 500 propiedades por 700 millones. https://t.co/RVhbxAITw0	Gracias Germán!!..que gusto comenzar asi el viernes. https://t.co/v6QHlLGIsW	NEUTRAL
3a5a6ca6946cb88ac50d477463abb47	Por qué tenéis tanto interés en que Cataluña se quede?SOLO ,queremos ser vuestro país vecino!!! #1octL6	vacío	RT @sninobecerra: Si CAT recuperase su déficit fiscal interregional esto no sucedería. https://t.co/hdTwBvWhFz	FAVOR
6a3a6f7dcbc2703845e41fde79135ac1	Con un cretinazo fascistoide como Albiol no se puede ir a ningún lado. Cuánto daño ha hecho el PP a este país.   #1octL6	Computer Software That Can Tell If You Are An Asshole. https://t.co/K74gaBFPwg	Independencia del hemisferio norte ya!!! https://t.co/EEVg2R5j4t	NEUTRAL
e781398e8f37edd4829581365496c18b	Votar el #1O no va ya sobre la independencia, si no sobre democracia y libertad. Las suyas, y las nuestras.	vacío	@elconfidencial Pegatinas, carteles, flores y cánticos: armas de destrucción masiva, obvio...???????????	FAVOR
4eff396e1bdc3fba96cbc2fe99501a49	#1octL6 donde están hoy los hijos de @KRLS y de @junqueras en un colegio de guardia o en casa? O eso es para la gente, q den la cara	http://t.co/Hni4kDe6Vg	#1octL6 los bomberos ya podían haber hecho un cordón de seguridad para evitar el cerco a la Guardia civil, ya q los mossos no pudieron	AGAINST
8d93de574616ddb9cae4ba0f57140833	@_javiercardenas con dos coj.. un catalán que levanta la voz y dice lo q siente frente al #1O https://t.co/Jc8e5QagC5 por favor escuchar!	vacío	@KRLS Ni ha cumplido la constitución,ni el estatut,ni la ley q usted ha creado. Algo + q pasarse x el forro antes d querer dialogar? #cínico	AGAINST
7f05ce2c66480e2a8245ef448c03161d	#1octL6  Si la única solución es el diàlogo, y estos son los que tienen que dialogar, hay que explicarles la diferencia con el monólogo.	@elEconomistaes "El tonto más absoluto es el que cree que los demás son tontos"	#1octL6 Monólogo: Yo digo y punto                     Tú dices y punto  Resultado: Más distancia entre ambos	AGAINST
623470ba541e1d7626f91155b8391977	.Albiol_XG : KRLS y junqueras están inhabilitados para pedir diálogo #1octL6 https://t.co/QpLXXkv3ol  . Albiol_XG :  KRLS y junqueras e…	vacío	#1octl6 Estoy seguro que en esto de el Twitter hay poderes estratégicamente organizados	AGAINST
2120118e6dadb63463c60571dddb3236	Seguid comprimiendo y el aire se seguirá calentando... #Votarem #HolaDemocràcia #1Oct2017 #FreedomOfSpeech #democracy	RT @ElHuffPost: Digo del mismísimo Kubrick https://t.co/XVp42yhMM1	RT @BobEstropajo: "Jefe, se nos olvidó mirar en el Todo a 100" https://t.co/Q2nurHXdap	FAVOR
152466646313bf8204d3fe234358c6fb	Meseteros en contra del derecho a la separación de Cataluña cuando ellos separaron en trozos a toda Castilla #1octL6	RT @Culturizando: ¿Sabías que Freddie Mercury era zoroastrista? https://t.co/BzhImbJX1s	Arrimadas habla como Rivera pero sin hacer cosas con la nariz #1octL6	FAVOR
